"Step","graceful-dawn-4 - eval/loss","graceful-dawn-4 - eval/loss__MIN","graceful-dawn-4 - eval/loss__MAX"
"0","0.26511022448539734","0.26511022448539734","0.26511022448539734"
"1","0.26511022448539734","0.26511022448539734","0.26511022448539734"
"2","0.26511022448539734","0.26511022448539734","0.26511022448539734"
"3","0.26511022448539734","0.26511022448539734","0.26511022448539734"
"8","0.002447060775011778","0.002447060775011778","0.002447060775011778"
"9","0.002447060775011778","0.002447060775011778","0.002447060775011778"
"14","0.0016563624376431108","0.0016563624376431108","0.0016563624376431108"
"15","0.0016563624376431108","0.0016563624376431108","0.0016563624376431108"
"20","0.0014653363032266498","0.0014653363032266498","0.0014653363032266498"
"21","0.0014653363032266498","0.0014653363032266498","0.0014653363032266498"
"26","0.0013576417695730925","0.0013576417695730925","0.0013576417695730925"
"27","0.0013576417695730925","0.0013576417695730925","0.0013576417695730925"
"32","0.0012900587171316147","0.0012900587171316147","0.0012900587171316147"
"33","0.0012900587171316147","0.0012900587171316147","0.0012900587171316147"
"38","0.0011884240666404366","0.0011884240666404366","0.0011884240666404366"
"39","0.0011884240666404366","0.0011884240666404366","0.0011884240666404366"
"44","0.0011333372676745057","0.0011333372676745057","0.0011333372676745057"
"45","0.0011333372676745057","0.0011333372676745057","0.0011333372676745057"
"50","0.0010978555073961616","0.0010978555073961616","0.0010978555073961616"
"51","0.0010978555073961616","0.0010978555073961616","0.0010978555073961616"
"56","0.0011352801229804754","0.0011352801229804754","0.0011352801229804754"
"57","0.0011352801229804754","0.0011352801229804754","0.0011352801229804754"
"62","0.001131177763454616","0.001131177763454616","0.001131177763454616"
"63","0.001131177763454616","0.001131177763454616","0.001131177763454616"