"Step","graceful-dawn-4 - train/train_epoch_loss","graceful-dawn-4 - train/train_epoch_loss__MIN","graceful-dawn-4 - train/train_epoch_loss__MAX"
"4","0.0019644557032734156","0.0019644557032734156","0.0019644557032734156"
"5","0.0019644557032734156","0.0019644557032734156","0.0019644557032734156"
"10","0.0011852479074150324","0.0011852479074150324","0.0011852479074150324"
"11","0.0011852479074150324","0.0011852479074150324","0.0011852479074150324"
"16","0.0009761903784237802","0.0009761903784237802","0.0009761903784237802"
"17","0.0009761903784237802","0.0009761903784237802","0.0009761903784237802"
"22","0.0008593839011155069","0.0008593839011155069","0.0008593839011155069"
"23","0.0008593839011155069","0.0008593839011155069","0.0008593839011155069"
"28","0.0008029649034142494","0.0008029649034142494","0.0008029649034142494"
"29","0.0008029649034142494","0.0008029649034142494","0.0008029649034142494"
"34","0.0007697268738411367","0.0007697268738411367","0.0007697268738411367"
"35","0.0007697268738411367","0.0007697268738411367","0.0007697268738411367"
"40","0.0007190422620624304","0.0007190422620624304","0.0007190422620624304"
"41","0.0007190422620624304","0.0007190422620624304","0.0007190422620624304"
"46","0.0006980486214160919","0.0006980486214160919","0.0006980486214160919"
"47","0.0006980486214160919","0.0006980486214160919","0.0006980486214160919"
"52","0.0007019378826953471","0.0007019378826953471","0.0007019378826953471"
"53","0.0007019378826953471","0.0007019378826953471","0.0007019378826953471"
"58","0.0006952378898859024","0.0006952378898859024","0.0006952378898859024"
"59","0.0006952378898859024","0.0006952378898859024","0.0006952378898859024"